"t","DHbO2","DHHb","DHbT","Zero","Pulse","Ideal_DHbO2","Ideal_DHHb","Ideal_DHbT","Invert_DHHb","Invert_DHbO2","Invert_Ideal_DHHb"
19.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19.7,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
19.8,0,0,0,0,0,0,0,0,0,0,0
19.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
20,0.00012639749583343,-6.49656912088403e-05,6.14318046245899e-05,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,6.49656912088403e-05,-0.00012639749583343,0.462167231742583
20.1,0.308684345997634,-0.150259065651483,0.158425280346151,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.150259065651483,-0.308684345997634,0.462167231742583
20.2,0.531704891916291,-0.243379864102636,0.288325027813656,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.243379864102636,-0.531704891916291,0.462167231742583
20.3,0.705185518527855,-0.3103908005221,0.394794718005755,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.3103908005221,-0.705185518527855,0.462167231742583
20.4,0.844749983114411,-0.362751538818827,0.481998444295584,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.362751538818827,-0.844749983114411,0.462167231742583
20.5,0.958708478945681,-0.405333523551732,0.553374955393949,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.405333523551732,-0.958708478945681,0.462167231742583
20.6,1.05227033078407,-0.440511348600978,0.61175898218309,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.440511348600978,-1.05227033078407,0.462167231742583
20.7,1.12916481173808,-0.469680923970216,0.659483887767863,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.469680923970216,-1.12916481173808,0.462167231742583
20.8,1.19229963320223,-0.493831550298239,0.698468082903986,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.493831550298239,-1.19229963320223,0.462167231742583
20.9,1.24404214704559,-0.513754778932594,0.730287368112997,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.513754778932594,-1.24404214704559,0.462167231742583
21,1.28635432585082,-0.530119127453091,0.756235198397732,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.530119127453091,-1.28635432585082,0.462167231742583
21.1,1.32087072586246,-0.543498037581628,0.777372688280835,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.543498037581628,-1.32087072586246,0.462167231742583
21.2,1.34895298315342,-0.554383007327914,0.79456997582551,0,1,1.2412067601973,-0.462167231742583,0.779039528454717,0.554383007327914,-1.34895298315342,0.462167231742583
