"HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","SaO2sup","P_a","rocc","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_s"
2.0449599999999997,-2.51862,-0.34908,-0.47366,-4.56358,1.0,50.0,0.0,1.04206977588,0.30099783446,0.29279450042,0.41149714375999996,0.21561636624,1.39742602652,0.0,0.0,0.0
2.18104,-2.65013,-0.35262000000000004,-0.46909,-4.83117,1.0,50.0,0.0,1.07829187607,0.30266250389000005,0.28569513133,0.41703881364,0.21809651716,1.38961179943,0.0,0.0,0.0
2.31712,-2.78164,-0.35616000000000003,-0.46452,-5.09876,1.0,50.0,0.0,1.11451397626,0.30432717332000003,0.27859576224,0.42258048352,0.22057666808,1.38179757234,0.0,0.0,0.0
2.4532,-2.91315,-0.3597,-0.45994999999999997,-5.366350000000001,1.0,50.0,0.0,1.1507360764499999,0.30599184275,0.27149639315,0.4281221534,0.22305681900000002,1.37398334525,0.0,0.0,0.0
2.58928,-3.04466,-0.36324,-0.45538,-5.63394,1.0,50.0,0.0,1.18695817664,0.30765651218,0.26439702406,0.43366382327999997,0.22553696992,1.36616911816,0.0,0.0,0.0
2.72536,-3.17617,-0.36678,-0.45081,-5.90153,1.0,50.0,0.0,1.22318027683,0.30932118161,0.25729765497,0.43920549315999996,0.22801712084,1.3583548910699998,0.0,0.0,0.0
2.86144,-3.30768,-0.37032000000000004,-0.44623999999999997,-6.1691199999999995,1.0,50.0,0.0,1.2594023770199998,0.31098585104000004,0.25019828588000004,0.44474716303999995,0.23049727176,1.35054066398,0.0,0.0,0.0
2.9975199999999997,-3.43919,-0.37386,-0.44167,-6.43671,1.0,50.0,0.0,1.2956244772099998,0.31265052047,0.24309891679,0.45028883292,0.23297742268,1.34272643689,0.0,0.0,0.0
3.1336,-3.5707,-0.3774,-0.4371,-6.7043,1.0,50.0,0.0,1.3318465774,0.3143151899,0.2359995477,0.4558305028,0.2354575736,1.3349122098,0.0,0.0,0.0
2.778,-3.16349,-0.34936,-0.38549,-5.94149,1.0,50.0,0.0,1.3055303646799998,0.31355619878,0.24110079454,0.44970044050999997,0.23263673662,1.34941927933,0.0,0.0,0.0
2.4223999999999997,-2.75628,-0.32132,-0.33387999999999995,-5.17868,1.0,50.0,0.0,1.27921415196,0.31279720766,0.24620204138000001,0.44357037822,0.22981589964,1.36392634886,0.0,0.0,0.0
2.0667999999999997,-2.34907,-0.29328,-0.28226999999999997,-4.41587,1.0,50.0,0.0,1.25289793924,0.31203821654,0.25130328822,0.43744031593,0.22699506266,1.37843341839,0.0,0.0,0.0
1.7111999999999998,-1.94186,-0.26524000000000003,-0.23065999999999998,-3.65306,1.0,50.0,0.0,1.2265817265199999,0.31127922542,0.25640453506,0.43131025364,0.22417422568,1.39294048792,0.0,0.0,0.0
1.3556,-1.53465,-0.23720000000000002,-0.17905,-2.89025,1.0,50.0,0.0,1.2002655137999998,0.31052023430000003,0.2615057819,0.42518019134999996,0.2213533887,1.4074475574499998,0.0,0.0,0.0
1.0,-1.12744,-0.20916,-0.12743999999999994,-2.12744,1.0,50.0,0.0,1.17394930108,0.30976124318,0.26660702874,0.41905012906,0.21853255172,1.4219546269799999,0.0,0.0,0.0
0.6443999999999996,-0.7202299999999999,-0.18112000000000003,-0.07582999999999995,-1.36463,1.0,50.0,0.0,1.1476330883599999,0.30900225206,0.27170827558,0.41292006677,0.21571171474,1.4364616965099999,0.0,0.0,0.0
0.2887999999999997,-0.31301999999999985,-0.15308000000000002,-0.024219999999999964,-0.60182,1.0,50.0,0.0,1.1213168756399998,0.30824326094,0.27680952242,0.40679000448,0.21289087776,1.45096876604,0.0,0.0,0.0
-0.06680000000000019,0.09419000000000022,-0.12504000000000004,0.027390000000000025,0.16098999999999997,1.0,50.0,0.0,1.09500066292,0.30748426982,0.28191076925999997,0.40065994219,0.21007004078,1.46547583557,0.0,0.0,0.0
-0.4224000000000001,0.5013999999999998,-0.09700000000000003,0.07900000000000001,0.9238,1.0,50.0,0.0,1.0686844502,0.3067252787,0.2870120161,0.3945298799,0.2072492038,1.4799829051,0.0,0.0,0.0
-0.60152,0.67826,-0.07992,0.07674,1.27979,1.0,50.0,0.0,1.0754538953,0.30765024881999997,0.28611623921,0.39310112288,0.20671230826,1.48850065937,0.0,0.0,0.0
-0.78064,0.85512,-0.06284000000000001,0.07448,1.63578,1.0,50.0,0.0,1.0822233404,0.30857521894,0.28522046232,0.39167236586,0.20617541272,1.49701841364,0.0,0.0,0.0
-0.95976,1.03198,-0.04576,0.07222,1.9917699999999998,1.0,50.0,0.0,1.0889927855,0.30950018906,0.28432468543,0.39024360884,0.20563851718,1.50553616791,0.0,0.0,0.0
-1.13888,1.20884,-0.02868000000000001,0.06996,2.34776,1.0,50.0,0.0,1.0957622305999999,0.31042515918,0.28342890853999997,0.38881485182,0.20510162164,1.51405392218,0.0,0.0,0.0
-1.318,1.3857,-0.0116,0.0677,2.70375,1.0,50.0,0.0,1.1025316756999999,0.3113501293,0.28253313165,0.38738609479999997,0.20456472609999998,1.5225716764500001,0.0,0.0,0.0
-1.4971199999999998,1.56256,0.005479999999999999,0.06544,3.0597399999999997,1.0,50.0,0.0,1.1093011208,0.31227509942,0.28163735476,0.38595733778,0.20402783055999998,1.53108943072,0.0,0.0,0.0
-1.67624,1.73942,0.022559999999999997,0.06318,3.41573,1.0,50.0,0.0,1.1160705659,0.31320006954,0.28074157787,0.38452858076,0.20349093501999999,1.53960718499,0.0,0.0,0.0
