"SaO2sup","P_a","HHb_d","HbO2_d","HbT_d","CCO_d","_PCr_d","_P_d","_ATP_d","ignore","ignore"
1.0,49.1426314932,0.0,-0.428571428571,-0.571428571429,0.0133641969106,5.94046355882,1.12615558824,3.0,7.02962962963,7.02
1.0,49.1422691744,0.0,-0.428571428571,-0.571428571429,0.0133941729298,5.94388013725,1.12260352941,3.0,7.02962962963,7.02
1.0,49.1419068555,0.0,-0.428571428571,-0.571428571429,0.013424148949,5.94695325653,1.1187823366,3.0,7.02962962963,7.02
1.0,49.1415445367,0.0,-0.428571428571,-0.571428571429,0.0134541249682,5.94968291666,1.11505397059,3.0,7.02962962963,7.02
1.0,49.1411822178,0.00166793990321,-0.428571428571,-0.571428571429,0.0134841009873,5.95206911764,1.11141843137,3.0,7.02958641975,7.02
1.0,49.140819899,0.00545709192764,-0.428571428571,-0.571428571429,0.0135140770065,5.95411185947,1.10787571896,3.0,7.02945308642,7.02
1.0,49.1404575802,0.0113674560733,-0.428571428571,-0.571428571429,0.0135440530257,5.95581114215,1.10442583334,3.0,7.02922962963,7.02
1.0,49.1400952613,0.0193990323401,-0.428571428571,-0.571428571429,0.0135500482295,5.95716696568,1.10106877451,3.0,7.02891604938,7.02
1.0,49.1397329425,0.0295518207282,-0.428571428571,-0.571428571429,0.0135235239944,5.95817933006,1.09780454249,3.0,7.02851234568,7.02
1.0,49.1393706236,0.0418258212375,-0.435046248715,-0.571428571429,0.0134644803202,5.95884823529,1.09463313726,3.0,7.02801851852,7.02
1.0,49.1390083048,0.0565471991503,-0.450082219938,-0.571428571429,0.0133729172071,5.95917368137,1.09155455883,3.0,7.0274345679,7.02
1.0,49.138645986,0.0797082933752,-0.47367934224,-0.571428571429,0.0132488346549,5.9591556683,1.08856880719,3.0,7.02676049383,7.02
1.0,49.1382836671,0.111309103912,-0.505837615622,-0.571428571429,0.0130922326638,5.95879419608,1.08567588236,3.0,7.02599160494,7.02
1.0,49.1379213483,0.151349630761,-0.546557040082,-0.571428571429,0.0129031112337,5.9580892647,1.08287578432,3.0,7.0251145679,7.02
1.0,49.1375590295,0.197964390409,-0.591545106908,-0.571428571429,0.0126814703646,5.95704087418,1.08016851307,3.0,7.02417259259,7.02
1.0,49.1371967106,0.250218960483,-0.639373269199,-0.571428571429,0.0124273100564,5.95564902451,1.07755406863,3.0,7.02321259259,7.02
